🕘️更新时间,#genre#
2025-02-13 06:25:46,http://php.jdshipin.com:8880/TVOD/iptv.php?id=rthk33

📺央视频道,#genre#
CCTV-1,http://php.jdshipin.com:8880/TVOD/iptv.php?id=rthk33
CCTV-1,http://z.b.bkpcp.top/m.php?id=cctv1
CCTV-1,http://111.29.9.33:6610/000000001000/1000000001000021973/index.m3u8?channel-id=bestzb&Contentid=1000000001000021973&livemode=1&stbId=3
CCTV-1,http://110.53.52.63:8888/newlive/live/hls/2/live.m3u8
CCTV-1,https://api.olelive.com/dis/live/CCTV1HD/hls.m3u8
CCTV-1,http://231114.xyz:35455/itv/1000000005000265001.m3u8?cdn=ystenlive
CCTV-1,http://dsm.huarunguoji.top:35455/itv/1000000005000265001.m3u8?cdn=ystenlive
CCTV-1,http://liqunhui.cn:35455/itv/1000000005000265001.m3u8?cdn=ystenlive
CCTV-1,http://112.123.206.32:808/hls/1/index.m3u8
CCTV-1,http://newtv.fun:35455/gaoma/cctv1.m3u8
CCTV-2,http://z.b.bkpcp.top/m.php?id=cctv2
CCTV-2,http://111.29.9.33:6610/000000001000/1000000001000012442/index.m3u8?channel-id=bestzb&Contentid=1000000001000012442&livemode=1&stbId=3
CCTV-2,http://110.53.52.63:8888/newlive/live/hls/3/live.m3u8
CCTV-2,https://api.olelive.com/dis/live/CCTV2HD/hls.m3u8
CCTV-2,http://231114.xyz:35455/itv/1000000001000023315.m3u8?cdn=ystenlive
CCTV-2,http://dsm.huarunguoji.top:35455/itv/1000000001000023315.m3u8?cdn=ystenlive
CCTV-2,http://liqunhui.cn:35455/itv/1000000001000023315.m3u8?cdn=ystenlive
CCTV-2,http://113.101.119.62:8090/hls/114/index.m3u8
CCTV-2,http://112.123.206.32:808/hls/2/index.m3u8
CCTV-2,http://newtv.fun:35455/gaoma/cctv2.m3u8
CCTV-3,http://z.b.bkpcp.top/m.php?id=cctv3
CCTV-3,http://111.29.9.33:6610/000000001000/1000000001000011218/index.m3u8?channel-id=bestzb&Contentid=1000000001000011218&livemode=1&stbId=3
CCTV-3,http://110.53.52.63:8888/newlive/live/hls/4/live.m3u8
CCTV-3,http://58.17.48.228:808/hls/3/index.m3u8
CCTV-3,https://api.olelive.com/dis/live/CCTV3HD/hls.m3u8
CCTV-3,http://231114.xyz:35455/itv/1000000005000265003.m3u8?cdn=ystenlive
CCTV-3,http://dsm.huarunguoji.top:35455/itv/1000000005000265003.m3u8?cdn=ystenlive
CCTV-3,http://liqunhui.cn:35455/itv/1000000005000265003.m3u8?cdn=ystenlive
CCTV-3,http://113.101.119.62:8090/hls/115/index.m3u8
CCTV-3,http://newtv.fun:35455/gaoma/cctv3.m3u8
CCTV-4,http://z.b.bkpcp.top/m.php?id=cctv4
CCTV-4,http://111.29.9.33:6610/000000001000/1000000002000031664/index.m3u8?channel-id=bestzb&Contentid=1000000002000031664&livemode=1&stbId=3
CCTV-4,http://110.53.52.63:8888/newlive/live/hls/5/live.m3u8
CCTV-4,https://api.olelive.com/dis/live/CCTV4HD/hls.m3u8
CCTV-4,http://42.238.235.104:9901/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-4,http://231114.xyz:35455/itv/1000000005000265004.m3u8?cdn=ystenlive
CCTV-4,http://dsm.huarunguoji.top:35455/itv/1000000005000265004.m3u8?cdn=ystenlive
CCTV-4,http://liqunhui.cn:35455/itv/1000000005000265004.m3u8?cdn=ystenlive
CCTV-4,http://113.101.119.62:8090/hls/116/index.m3u8
CCTV-4,http://newtv.fun:35455/gaoma/cctv4k.m3u8
CCTV-5,http://z.b.bkpcp.top/m.php?id=cctv5
CCTV-5,http://111.29.9.33:6610/000000001000/1000000001000004794/index.m3u8?channel-id=bestzb&Contentid=1000000001000004794&livemode=1&stbId=3
CCTV-5,http://110.53.52.63:8888/newlive/live/hls/6/live.m3u8
CCTV-5,http://58.17.48.228:808/hls/5/index.m3u8
CCTV-5,https://api.olelive.com/dis/live/CCTV5HD/hls.m3u8
CCTV-5,http://231114.xyz:35455/itv/1000000005000265005.m3u8?cdn=ystenlive
CCTV-5,http://dsm.huarunguoji.top:35455/itv/1000000005000265005.m3u8?cdn=ystenlive
CCTV-5,http://liqunhui.cn:35455/itv/1000000005000265005.m3u8?cdn=ystenlive
CCTV-5,http://113.101.119.62:8090/hls/58/index.m3u8
CCTV-5,http://newtv.fun:35455/gaoma/cctv5.m3u8
CCTV-5+,http://z.b.bkpcp.top/m.php?id=cctv5p
CCTV-5+,http://111.29.9.33:6610/000000001000/1000000001000020505/index.m3u8?channel-id=bestzb&Contentid=1000000001000020505&livemode=1&stbId=3
CCTV-5+,http://110.53.52.63:8888/newlive/live/hls/7/live.m3u8
CCTV-5+,https://api.olelive.com/dis/live/CCTV5PHD/hls.m3u8
CCTV-5+,http://231114.xyz:35455/itv/1000000005000265016.m3u8?cdn=ystenlive
CCTV-5+,http://dsm.huarunguoji.top:35455/itv/1000000005000265016.m3u8?cdn=ystenlive
CCTV-5+,http://liqunhui.cn:35455/itv/1000000005000265016.m3u8?cdn=ystenlive
CCTV-5+,http://113.101.119.62:8090/hls/10/index.m3u8
CCTV-5+,http://newtv.fun:35455/gaoma/cctv5p.m3u8
